Year,Round,EventName,LapNumber,TrackStatus
2023,1,Bahrain Grand Prix,1.0,12
2023,1,Bahrain Grand Prix,2.0,12
2023,1,Bahrain Grand Prix,3.0,1
2023,1,Bahrain Grand Prix,4.0,1
2023,1,Bahrain Grand Prix,5.0,1
2023,1,Bahrain Grand Prix,6.0,1
2023,1,Bahrain Grand Prix,7.0,1
2023,1,Bahrain Grand Prix,8.0,1
2023,1,Bahrain Grand Prix,9.0,1
2023,1,Bahrain Grand Prix,10.0,1
2023,1,Bahrain Grand Prix,11.0,1
2023,1,Bahrain Grand Prix,12.0,1
2023,1,Bahrain Grand Prix,13.0,1
2023,1,Bahrain Grand Prix,14.0,1
2023,1,Bahrain Grand Prix,15.0,1
2023,1,Bahrain Grand Prix,16.0,1
2023,1,Bahrain Grand Prix,17.0,1
2023,1,Bahrain Grand Prix,18.0,1
2023,1,Bahrain Grand Prix,19.0,1
2023,1,Bahrain Grand Prix,20.0,1
2023,1,Bahrain Grand Prix,21.0,1
2023,1,Bahrain Grand Prix,22.0,1
2023,1,Bahrain Grand Prix,23.0,1
2023,1,Bahrain Grand Prix,24.0,1
2023,1,Bahrain Grand Prix,25.0,1
2023,1,Bahrain Grand Prix,26.0,1
2023,1,Bahrain Grand Prix,27.0,1
2023,1,Bahrain Grand Prix,28.0,1
2023,1,Bahrain Grand Prix,29.0,1
2023,1,Bahrain Grand Prix,30.0,1
2023,1,Bahrain Grand Prix,31.0,1
2023,1,Bahrain Grand Prix,32.0,1
2023,1,Bahrain Grand Prix,33.0,1
2023,1,Bahrain Grand Prix,34.0,1
2023,1,Bahrain Grand Prix,35.0,1
2023,1,Bahrain Grand Prix,36.0,1
2023,1,Bahrain Grand Prix,37.0,1
2023,1,Bahrain Grand Prix,38.0,1
2023,1,Bahrain Grand Prix,39.0,1
2023,1,Bahrain Grand Prix,40.0,1
2023,1,Bahrain Grand Prix,41.0,126
2023,1,Bahrain Grand Prix,42.0,671
2023,1,Bahrain Grand Prix,43.0,1
2023,1,Bahrain Grand Prix,44.0,1
2023,1,Bahrain Grand Prix,45.0,1
2023,1,Bahrain Grand Prix,46.0,1
2023,1,Bahrain Grand Prix,47.0,1
2023,1,Bahrain Grand Prix,48.0,1
2023,1,Bahrain Grand Prix,49.0,1
2023,1,Bahrain Grand Prix,50.0,1
2023,1,Bahrain Grand Prix,51.0,1
2023,1,Bahrain Grand Prix,52.0,1
2023,1,Bahrain Grand Prix,53.0,1
2023,1,Bahrain Grand Prix,54.0,1
2023,1,Bahrain Grand Prix,55.0,1
2023,1,Bahrain Grand Prix,56.0,1
2023,1,Bahrain Grand Prix,57.0,1
2023,1,Bahrain Grand Prix,2.0,21
2023,1,Bahrain Grand Prix,40.0,126
2023,1,Bahrain Grand Prix,41.0,671
2023,1,Bahrain Grand Prix,42.0,1
2023,1,Bahrain Grand Prix,40.0,12
2023,1,Bahrain Grand Prix,41.0,2671
2023,1,Bahrain Grand Prix,39.0,12
2023,1,Bahrain Grand Prix,40.0,2671
2023,1,Bahrain Grand Prix,41.0,1
2023,2,Saudi Arabian Grand Prix,1.0,1
2023,2,Saudi Arabian Grand Prix,2.0,1
2023,2,Saudi Arabian Grand Prix,3.0,1
2023,2,Saudi Arabian Grand Prix,4.0,1
2023,2,Saudi Arabian Grand Prix,5.0,1
2023,2,Saudi Arabian Grand Prix,6.0,1
2023,2,Saudi Arabian Grand Prix,7.0,1
2023,2,Saudi Arabian Grand Prix,8.0,1
2023,2,Saudi Arabian Grand Prix,9.0,1
2023,2,Saudi Arabian Grand Prix,10.0,1
2023,2,Saudi Arabian Grand Prix,11.0,1
2023,2,Saudi Arabian Grand Prix,12.0,1
2023,2,Saudi Arabian Grand Prix,13.0,1
2023,2,Saudi Arabian Grand Prix,14.0,1
2023,2,Saudi Arabian Grand Prix,15.0,1
2023,2,Saudi Arabian Grand Prix,16.0,1
2023,2,Saudi Arabian Grand Prix,17.0,12
2023,2,Saudi Arabian Grand Prix,18.0,24
2023,2,Saudi Arabian Grand Prix,19.0,4
2023,2,Saudi Arabian Grand Prix,20.0,41
2023,2,Saudi Arabian Grand Prix,21.0,1
2023,2,Saudi Arabian Grand Prix,22.0,1
2023,2,Saudi Arabian Grand Prix,23.0,1
2023,2,Saudi Arabian Grand Prix,24.0,1
2023,2,Saudi Arabian Grand Prix,25.0,1
2023,2,Saudi Arabian Grand Prix,26.0,1
2023,2,Saudi Arabian Grand Prix,27.0,1
2023,2,Saudi Arabian Grand Prix,28.0,1
2023,2,Saudi Arabian Grand Prix,29.0,1
2023,2,Saudi Arabian Grand Prix,30.0,1
2023,2,Saudi Arabian Grand Prix,31.0,1
2023,2,Saudi Arabian Grand Prix,32.0,1
2023,2,Saudi Arabian Grand Prix,33.0,1
2023,2,Saudi Arabian Grand Prix,34.0,1
2023,2,Saudi Arabian Grand Prix,35.0,1
2023,2,Saudi Arabian Grand Prix,36.0,1
2023,2,Saudi Arabian Grand Prix,37.0,1
2023,2,Saudi Arabian Grand Prix,38.0,1
2023,2,Saudi Arabian Grand Prix,39.0,1
2023,2,Saudi Arabian Grand Prix,40.0,1
2023,2,Saudi Arabian Grand Prix,41.0,1
2023,2,Saudi Arabian Grand Prix,42.0,1
2023,2,Saudi Arabian Grand Prix,43.0,1
2023,2,Saudi Arabian Grand Prix,44.0,1
2023,2,Saudi Arabian Grand Prix,45.0,1
2023,2,Saudi Arabian Grand Prix,46.0,1
2023,2,Saudi Arabian Grand Prix,47.0,1
2023,2,Saudi Arabian Grand Prix,48.0,1
2023,2,Saudi Arabian Grand Prix,49.0,1
2023,2,Saudi Arabian Grand Prix,50.0,1
2023,2,Saudi Arabian Grand Prix,17.0,124
2023,2,Saudi Arabian Grand Prix,18.0,4
2023,3,Australian Grand Prix,1.0,124
2023,3,Australian Grand Prix,2.0,4
2023,3,Australian Grand Prix,3.0,41
2023,3,Australian Grand Prix,4.0,1
2023,3,Australian Grand Prix,5.0,1
2023,3,Australian Grand Prix,6.0,1
2023,3,Australian Grand Prix,7.0,124
2023,3,Australian Grand Prix,8.0,451
2023,3,Australian Grand Prix,9.0,1
2023,3,Australian Grand Prix,10.0,1
2023,3,Australian Grand Prix,11.0,1
2023,3,Australian Grand Prix,12.0,1
2023,3,Australian Grand Prix,13.0,1
2023,3,Australian Grand Prix,14.0,1
2023,3,Australian Grand Prix,15.0,1
2023,3,Australian Grand Prix,16.0,1
2023,3,Australian Grand Prix,17.0,1
2023,3,Australian Grand Prix,18.0,16
2023,3,Australian Grand Prix,19.0,671
2023,3,Australian Grand Prix,20.0,1
2023,3,Australian Grand Prix,21.0,1
2023,3,Australian Grand Prix,22.0,1
2023,3,Australian Grand Prix,23.0,1
2023,3,Australian Grand Prix,24.0,1
2023,3,Australian Grand Prix,25.0,1
2023,3,Australian Grand Prix,26.0,1
2023,3,Australian Grand Prix,27.0,1
2023,3,Australian Grand Prix,28.0,1
2023,3,Australian Grand Prix,29.0,1
2023,3,Australian Grand Prix,30.0,1
2023,3,Australian Grand Prix,31.0,1
2023,3,Australian Grand Prix,32.0,1
2023,3,Australian Grand Prix,33.0,1
2023,3,Australian Grand Prix,34.0,1
2023,3,Australian Grand Prix,35.0,1
2023,3,Australian Grand Prix,36.0,1
2023,3,Australian Grand Prix,37.0,1
2023,3,Australian Grand Prix,38.0,1
2023,3,Australian Grand Prix,39.0,1
2023,3,Australian Grand Prix,40.0,1
2023,3,Australian Grand Prix,41.0,1
2023,3,Australian Grand Prix,42.0,1
2023,3,Australian Grand Prix,43.0,1
2023,3,Australian Grand Prix,44.0,1
2023,3,Australian Grand Prix,45.0,1
2023,3,Australian Grand Prix,46.0,1
2023,3,Australian Grand Prix,47.0,1
2023,3,Australian Grand Prix,48.0,1
2023,3,Australian Grand Prix,49.0,1
2023,3,Australian Grand Prix,50.0,1
2023,3,Australian Grand Prix,51.0,1
2023,3,Australian Grand Prix,52.0,1
2023,3,Australian Grand Prix,53.0,12
2023,3,Australian Grand Prix,54.0,214
2023,3,Australian Grand Prix,55.0,45
2023,3,Australian Grand Prix,56.0,1
2023,3,Australian Grand Prix,57.0,125
2023,3,Australian Grand Prix,58.0,1
2023,3,Australian Grand Prix,54.0,14
2023,3,Australian Grand Prix,55.0,451
