Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2018,1,Australian Grand Prix,5,VET,Ferrari,3.0,1.0,25.0,Finished,58.0,58
2018,1,Australian Grand Prix,44,HAM,Mercedes,1.0,2.0,18.0,Finished,58.0,58
2018,1,Australian Grand Prix,7,RAI,Ferrari,2.0,3.0,15.0,Finished,58.0,58
2018,1,Australian Grand Prix,3,RIC,Red Bull Racing,8.0,4.0,12.0,Finished,58.0,58
2018,1,Australian Grand Prix,14,ALO,McLaren,10.0,5.0,10.0,Finished,58.0,58
2018,1,Australian Grand Prix,33,VER,Red Bull Racing,4.0,6.0,8.0,Finished,58.0,58
2018,1,Australian Grand Prix,27,HUL,Renault,7.0,7.0,6.0,Finished,58.0,58
2018,1,Australian Grand Prix,77,BOT,Mercedes,15.0,8.0,4.0,Finished,58.0,58
2018,1,Australian Grand Prix,2,VAN,McLaren,11.0,9.0,2.0,Finished,58.0,58
2018,1,Australian Grand Prix,55,SAI,Renault,9.0,10.0,1.0,Finished,58.0,58
2018,1,Australian Grand Prix,11,PER,Force India,12.0,11.0,0.0,Finished,58.0,58
2018,1,Australian Grand Prix,31,OCO,Force India,14.0,12.0,0.0,Finished,58.0,58
2018,1,Australian Grand Prix,16,LEC,Sauber,18.0,13.0,0.0,Finished,58.0,58
2018,1,Australian Grand Prix,18,STR,Williams,13.0,14.0,0.0,Finished,58.0,58
2018,1,Australian Grand Prix,28,HAR,Toro Rosso,16.0,15.0,0.0,+1 Lap,57.0,58
2018,1,Australian Grand Prix,8,GRO,Haas F1 Team,6.0,16.0,0.0,Wheel,24.0,58
2018,1,Australian Grand Prix,20,MAG,Haas F1 Team,5.0,17.0,0.0,Wheel,22.0,58
2018,1,Australian Grand Prix,10,GAS,Toro Rosso,20.0,18.0,0.0,Engine,14.0,58
2018,1,Australian Grand Prix,9,ERI,Sauber,17.0,19.0,0.0,Steering,6.0,58
2018,1,Australian Grand Prix,35,SIR,Williams,19.0,20.0,0.0,Brakes,5.0,58
2018,2,Bahrain Grand Prix,5,VET,Ferrari,1.0,1.0,25.0,Finished,57.0,57
2018,2,Bahrain Grand Prix,77,BOT,Mercedes,3.0,2.0,18.0,Finished,57.0,57
2018,2,Bahrain Grand Prix,44,HAM,Mercedes,9.0,3.0,15.0,Finished,57.0,57
2018,2,Bahrain Grand Prix,10,GAS,Toro Rosso,5.0,4.0,12.0,Finished,57.0,57
2018,2,Bahrain Grand Prix,20,MAG,Haas F1 Team,6.0,5.0,10.0,Finished,57.0,57
2018,2,Bahrain Grand Prix,27,HUL,Renault,7.0,6.0,8.0,Finished,57.0,57
2018,2,Bahrain Grand Prix,14,ALO,McLaren,13.0,7.0,6.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,2,VAN,McLaren,14.0,8.0,4.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,9,ERI,Sauber,17.0,9.0,2.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,31,OCO,Force India,8.0,10.0,1.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,55,SAI,Renault,10.0,11.0,0.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,16,LEC,Sauber,19.0,12.0,0.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,8,GRO,Haas F1 Team,16.0,13.0,0.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,18,STR,Williams,20.0,14.0,0.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,35,SIR,Williams,18.0,15.0,0.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,11,PER,Force India,12.0,16.0,0.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,28,HAR,Toro Rosso,11.0,17.0,0.0,+1 Lap,56.0,57
2018,2,Bahrain Grand Prix,7,RAI,Ferrari,2.0,18.0,0.0,Wheel,34.0,57
2018,2,Bahrain Grand Prix,33,VER,Red Bull Racing,15.0,19.0,0.0,Puncture,4.0,57
2018,2,Bahrain Grand Prix,3,RIC,Red Bull Racing,4.0,20.0,0.0,Electrical,2.0,57
2018,3,Chinese Grand Prix,3,RIC,Red Bull Racing,6.0,1.0,25.0,Finished,56.0,56
2018,3,Chinese Grand Prix,77,BOT,Mercedes,3.0,2.0,18.0,Finished,56.0,56
2018,3,Chinese Grand Prix,7,RAI,Ferrari,2.0,3.0,15.0,Finished,56.0,56
2018,3,Chinese Grand Prix,44,HAM,Mercedes,4.0,4.0,12.0,Finished,56.0,56
2018,3,Chinese Grand Prix,33,VER,Red Bull Racing,5.0,5.0,10.0,Finished,56.0,56
2018,3,Chinese Grand Prix,27,HUL,Renault,7.0,6.0,8.0,Finished,56.0,56
2018,3,Chinese Grand Prix,14,ALO,McLaren,13.0,7.0,6.0,Finished,56.0,56
2018,3,Chinese Grand Prix,5,VET,Ferrari,1.0,8.0,4.0,Finished,56.0,56
2018,3,Chinese Grand Prix,55,SAI,Renault,9.0,9.0,2.0,Finished,56.0,56
2018,3,Chinese Grand Prix,20,MAG,Haas F1 Team,11.0,10.0,1.0,Finished,56.0,56
2018,3,Chinese Grand Prix,31,OCO,Force India,12.0,11.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,11,PER,Force India,8.0,12.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,2,VAN,McLaren,14.0,13.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,18,STR,Williams,18.0,14.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,35,SIR,Williams,16.0,15.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,9,ERI,Sauber,20.0,16.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,8,GRO,Haas F1 Team,10.0,17.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,10,GAS,Toro Rosso,17.0,18.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,16,LEC,Sauber,19.0,19.0,0.0,Finished,56.0,56
2018,3,Chinese Grand Prix,28,HAR,Toro Rosso,15.0,20.0,0.0,Collision damage,51.0,56
2018,4,Azerbaijan Grand Prix,44,HAM,Mercedes,2.0,1.0,25.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,7,RAI,Ferrari,6.0,2.0,18.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,11,PER,Force India,8.0,3.0,15.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,5,VET,Ferrari,1.0,4.0,12.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,55,SAI,Renault,9.0,5.0,10.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,16,LEC,Sauber,13.0,6.0,8.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,14,ALO,McLaren,12.0,7.0,6.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,18,STR,Williams,10.0,8.0,4.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,2,VAN,McLaren,16.0,9.0,2.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,28,HAR,Toro Rosso,19.0,10.0,1.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,9,ERI,Sauber,18.0,11.0,0.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,10,GAS,Toro Rosso,17.0,12.0,0.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,20,MAG,Haas F1 Team,15.0,13.0,0.0,Finished,51.0,51
2018,4,Azerbaijan Grand Prix,77,BOT,Mercedes,3.0,14.0,0.0,Puncture,49.0,51
2018,4,Azerbaijan Grand Prix,8,GRO,Haas F1 Team,20.0,15.0,0.0,Accident,43.0,51
2018,4,Azerbaijan Grand Prix,33,VER,Red Bull Racing,5.0,16.0,0.0,Collision,40.0,51
2018,4,Azerbaijan Grand Prix,3,RIC,Red Bull Racing,4.0,17.0,0.0,Collision,40.0,51
2018,4,Azerbaijan Grand Prix,27,HUL,Renault,14.0,18.0,0.0,Accident,11.0,51
2018,4,Azerbaijan Grand Prix,31,OCO,Force India,7.0,19.0,0.0,Collision,1.0,51
2018,4,Azerbaijan Grand Prix,35,SIR,Williams,11.0,20.0,0.0,Collision,1.0,51
2018,5,Spanish Grand Prix,44,HAM,Mercedes,1.0,1.0,25.0,Finished,66.0,66
2018,5,Spanish Grand Prix,77,BOT,Mercedes,2.0,2.0,18.0,Finished,66.0,66
2018,5,Spanish Grand Prix,33,VER,Red Bull Racing,5.0,3.0,15.0,Finished,66.0,66
