Year,Round,EventName,Location,Country,EventFormat,CircuitType,CircuitLength_km,DRS_Zones
2024,1,Bahrain Grand Prix,Sakhir,Bahrain,conventional,permanent,5.412,2
2024,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,conventional,street,6.174,3
2024,3,Australian Grand Prix,Melbourne,Australia,conventional,street,5.278,4
2024,4,Japanese Grand Prix,Suzuka,Japan,conventional,permanent,5.807,1
2024,5,Chinese Grand Prix,Shanghai,China,sprint_qualifying,permanent,5.451,2
2024,6,Miami Grand Prix,Miami,United States,sprint_qualifying,street,5.412,3
2024,7,Emilia Romagna Grand Prix,Imola,Italy,conventional,permanent,4.909,1
2024,8,Monaco Grand Prix,Monaco,Monaco,conventional,street,3.337,1
2024,9,Canadian Grand Prix,Montréal,Canada,conventional,permanent,4.361,2
2024,10,Spanish Grand Prix,Barcelona,Spain,conventional,permanent,4.675,2
2024,11,Austrian Grand Prix,Spielberg,Austria,sprint_qualifying,permanent,4.318,3
2024,12,British Grand Prix,Silverstone,United Kingdom,conventional,permanent,5.891,2
2024,13,Hungarian Grand Prix,Budapest,Hungary,conventional,permanent,4.381,1
2024,14,Belgian Grand Prix,Spa-Francorchamps,Belgium,conventional,permanent,7.004,2
2024,15,Dutch Grand Prix,Zandvoort,Netherlands,conventional,permanent,4.259,2
2024,16,Italian Grand Prix,Monza,Italy,conventional,permanent,5.793,2
2024,17,Azerbaijan Grand Prix,Baku,Azerbaijan,conventional,street,6.003,2
2024,18,Singapore Grand Prix,Marina Bay,Singapore,conventional,street,4.94,3
2024,19,United States Grand Prix,Austin,United States,sprint_qualifying,permanent,5.513,2
2024,20,Mexico City Grand Prix,Mexico City,Mexico,conventional,permanent,4.304,3
2024,21,São Paulo Grand Prix,São Paulo,Brazil,sprint_qualifying,permanent,4.309,2
2024,22,Las Vegas Grand Prix,Las Vegas,United States,conventional,street,6.201,2
2024,23,Qatar Grand Prix,Lusail,Qatar,sprint_qualifying,permanent,5.38,2
2024,24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,conventional,permanent,5.281,2
