Year,Round,EventName,Location,Country,EventFormat,CircuitType,CircuitLength_km,DRS_Zones
2026,1,Australian Grand Prix,Melbourne,Australia,conventional,street,5.278,4
2026,2,Chinese Grand Prix,Shanghai,China,sprint_qualifying,permanent,5.451,2
2026,3,Japanese Grand Prix,Suzuka,Japan,conventional,permanent,5.807,1
2026,4,Miami Grand Prix,Miami Gardens,United States,sprint_qualifying,street,5.412,3
2026,5,Canadian Grand Prix,Montréal,Canada,sprint_qualifying,permanent,4.361,2
2026,6,Monaco Grand Prix,Monte Carlo,Monaco,conventional,street,3.337,1
2026,7,Barcelona Grand Prix,Barcelona,Spain,conventional,permanent,4.675,2
2026,8,Austrian Grand Prix,Spielberg,Austria,conventional,permanent,4.318,3
2026,9,British Grand Prix,Silverstone,United Kingdom,sprint_qualifying,permanent,5.891,2
2026,10,Belgian Grand Prix,Spa-Francorchamps,Belgium,conventional,permanent,7.004,2
2026,11,Hungarian Grand Prix,Budapest,Hungary,conventional,permanent,4.381,1
2026,12,Dutch Grand Prix,Zandvoort,Netherlands,sprint_qualifying,permanent,4.259,2
2026,13,Italian Grand Prix,Monza,Italy,conventional,permanent,5.793,2
2026,14,Spanish Grand Prix,Madrid,Spain,conventional,street,5.474,3
2026,15,Azerbaijan Grand Prix,Baku,Azerbaijan,conventional,street,6.003,2
2026,16,Singapore Grand Prix,Marina Bay,Singapore,sprint_qualifying,street,4.94,3
2026,17,United States Grand Prix,Austin,United States,conventional,permanent,5.513,2
2026,18,Mexico City Grand Prix,Mexico City,Mexico,conventional,permanent,4.304,3
2026,19,São Paulo Grand Prix,São Paulo,Brazil,conventional,permanent,4.309,2
2026,20,Las Vegas Grand Prix,Las Vegas,United States,conventional,street,6.201,2
2026,21,Qatar Grand Prix,Lusail,Qatar,conventional,permanent,5.38,2
2026,22,Abu Dhabi Grand Prix,Yas Marina,United Arab Emirates,conventional,permanent,5.281,2
