Year,Round,EventName,Location,Country,EventFormat,CircuitType,CircuitLength_km,DRS_Zones
2023,1,Bahrain Grand Prix,Sakhir,Bahrain,conventional,permanent,5.412,2
2023,2,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,conventional,street,6.174,3
2023,3,Australian Grand Prix,Melbourne,Australia,conventional,street,5.278,4
2023,4,Azerbaijan Grand Prix,Baku,Azerbaijan,sprint_shootout,street,6.003,2
2023,5,Miami Grand Prix,Miami,United States,conventional,street,5.412,3
2023,6,Monaco Grand Prix,Monaco,Monaco,conventional,street,3.337,1
2023,7,Spanish Grand Prix,Barcelona,Spain,conventional,permanent,4.675,2
2023,8,Canadian Grand Prix,Montréal,Canada,conventional,permanent,4.361,2
2023,9,Austrian Grand Prix,Spielberg,Austria,sprint_shootout,permanent,4.318,3
2023,10,British Grand Prix,Silverstone,Great Britain,conventional,permanent,5.891,2
2023,11,Hungarian Grand Prix,Budapest,Hungary,conventional,permanent,4.381,1
2023,12,Belgian Grand Prix,Spa-Francorchamps,Belgium,sprint_shootout,permanent,7.004,2
2023,13,Dutch Grand Prix,Zandvoort,Netherlands,conventional,permanent,4.259,2
2023,14,Italian Grand Prix,Monza,Italy,conventional,permanent,5.793,2
2023,15,Singapore Grand Prix,Marina Bay,Singapore,conventional,street,4.94,3
2023,16,Japanese Grand Prix,Suzuka,Japan,conventional,permanent,5.807,1
2023,17,Qatar Grand Prix,Lusail,Qatar,sprint_shootout,permanent,5.38,2
2023,18,United States Grand Prix,Austin,United States,sprint_shootout,permanent,5.513,2
2023,19,Mexico City Grand Prix,Mexico City,Mexico,conventional,permanent,4.304,3
2023,20,São Paulo Grand Prix,São Paulo,Brazil,sprint_shootout,permanent,4.309,2
2023,21,Las Vegas Grand Prix,Las Vegas,United States,conventional,street,6.201,2
2023,22,Abu Dhabi Grand Prix,Yas Island,Abu Dhabi,conventional,permanent,5.281,2
