Year,Round,EventName,Location,Country,EventFormat,CircuitType,CircuitLength_km,DRS_Zones
2025,1,Australian Grand Prix,Melbourne,Australia,conventional,street,5.278,4
2025,2,Chinese Grand Prix,Shanghai,China,sprint_qualifying,permanent,5.451,2
2025,3,Japanese Grand Prix,Suzuka,Japan,conventional,permanent,5.807,1
2025,4,Bahrain Grand Prix,Sakhir,Bahrain,conventional,permanent,5.412,2
2025,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,conventional,street,6.174,3
2025,6,Miami Grand Prix,Miami Gardens,United States,sprint_qualifying,street,5.412,3
2025,7,Emilia Romagna Grand Prix,Imola,Italy,conventional,permanent,4.909,1
2025,8,Monaco Grand Prix,Monaco,Monaco,conventional,street,3.337,1
2025,9,Spanish Grand Prix,Barcelona,Spain,conventional,permanent,4.675,2
2025,10,Canadian Grand Prix,Montréal,Canada,conventional,permanent,4.361,2
2025,11,Austrian Grand Prix,Spielberg,Austria,conventional,permanent,4.318,3
2025,12,British Grand Prix,Silverstone,United Kingdom,conventional,permanent,5.891,2
2025,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,sprint_qualifying,permanent,7.004,2
2025,14,Hungarian Grand Prix,Budapest,Hungary,conventional,permanent,4.381,1
2025,15,Dutch Grand Prix,Zandvoort,Netherlands,conventional,permanent,4.259,2
2025,16,Italian Grand Prix,Monza,Italy,conventional,permanent,5.793,2
2025,17,Azerbaijan Grand Prix,Baku,Azerbaijan,conventional,street,6.003,2
2025,18,Singapore Grand Prix,Marina Bay,Singapore,conventional,street,4.94,3
2025,19,United States Grand Prix,Austin,United States,sprint_qualifying,permanent,5.513,2
2025,20,Mexico City Grand Prix,Mexico City,Mexico,conventional,permanent,4.304,3
2025,21,São Paulo Grand Prix,São Paulo,Brazil,sprint_qualifying,permanent,4.309,2
2025,22,Las Vegas Grand Prix,Las Vegas,United States,conventional,street,6.201,2
2025,23,Qatar Grand Prix,Lusail,Qatar,sprint_qualifying,permanent,5.38,2
2025,24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,conventional,permanent,5.281,2
